sender,receiver,timestamp,topic
cto@company.com,ceo@company.com,2024-01-16,Sync
staff_04@company.com,staff_15@company.com,2024-02-14,Update
staff_07@company.com,staff_04@company.com,2024-01-02,Coffee
cto@company.com,eng_lead@company.com,2024-02-20,Coffee
eng_lead@company.com,staff_08@company.com,2024-01-24,Update
ceo@company.com,staff_04@company.com,2024-02-05,Report
staff_07@company.com,staff_05@company.com,2024-02-24,Sync
staff_03@company.com,staff_02@company.com,2024-02-16,Update
staff_04@company.com,staff_10@company.com,2024-01-26,Sync
staff_02@company.com,hr_lead@company.com,2024-01-18,Planning
cto@company.com,ceo@company.com,2024-01-26,Coffee
staff_12@company.com,staff_13@company.com,2024-01-01,Sync
eng_lead@company.com,staff_04@company.com,2024-02-06,Sync
ceo@company.com,staff_08@company.com,2024-01-23,Update
staff_08@company.com,sales_lead@company.com,2024-01-19,Sync
cto@company.com,staff_04@company.com,2024-01-22,Planning
staff_14@company.com,staff_07@company.com,2024-02-25,Report
staff_03@company.com,staff_04@company.com,2024-02-23,Report
hr_lead@company.com,staff_02@company.com,2024-01-12,Report
staff_11@company.com,staff_09@company.com,2024-02-12,Update
eng_lead@company.com,staff_05@company.com,2024-01-25,Planning
staff_09@company.com,staff_11@company.com,2024-02-10,Update
staff_07@company.com,ceo@company.com,2024-02-09,Report
staff_06@company.com,staff_03@company.com,2024-02-10,Planning
eng_lead@company.com,hr_lead@company.com,2024-01-11,Planning
ceo@company.com,staff_12@company.com,2024-02-24,Planning
staff_15@company.com,staff_04@company.com,2024-01-30,Sync
ceo@company.com,eng_lead@company.com,2024-02-23,Update
hr_lead@company.com,staff_01@company.com,2024-01-08,Planning
staff_11@company.com,staff_10@company.com,2024-02-18,Update
eng_lead@company.com,staff_05@company.com,2024-01-18,Coffee
ceo@company.com,hr_lead@company.com,2024-01-08,Report
staff_15@company.com,sales_lead@company.com,2024-01-25,Report
ceo@company.com,staff_11@company.com,2024-01-27,Coffee
staff_07@company.com,staff_06@company.com,2024-01-03,Coffee
sales_lead@company.com,staff_08@company.com,2024-02-21,Update
staff_15@company.com,staff_04@company.com,2024-02-17,Update
ceo@company.com,cto@company.com,2024-02-07,Sync
cto@company.com,hr_lead@company.com,2024-01-21,Planning
staff_06@company.com,staff_07@company.com,2024-02-22,Update
eng_lead@company.com,staff_05@company.com,2024-01-09,Planning
ceo@company.com,eng_lead@company.com,2024-02-25,Coffee
staff_03@company.com,staff_06@company.com,2024-02-24,Planning
ceo@company.com,hr_lead@company.com,2024-01-22,Report
staff_09@company.com,sales_lead@company.com,2024-02-09,Coffee
staff_11@company.com,staff_05@company.com,2024-02-01,Planning
staff_06@company.com,staff_07@company.com,2024-02-29,Planning
staff_02@company.com,hr_lead@company.com,2024-02-23,Report
staff_10@company.com,staff_11@company.com,2024-01-28,Update
staff_11@company.com,staff_09@company.com,2024-01-29,Update
staff_05@company.com,staff_13@company.com,2024-02-13,Sync
cto@company.com,staff_03@company.com,2024-01-01,Update
eng_lead@company.com,staff_12@company.com,2024-01-19,Update
eng_lead@company.com,staff_14@company.com,2024-02-23,Report
staff_04@company.com,eng_lead@company.com,2024-01-01,Sync
sales_lead@company.com,staff_01@company.com,2024-02-21,Report
ceo@company.com,staff_08@company.com,2024-02-09,Coffee
staff_13@company.com,staff_12@company.com,2024-02-23,Sync
ceo@company.com,staff_15@company.com,2024-01-26,Planning
eng_lead@company.com,cto@company.com,2024-01-13,Sync
staff_11@company.com,staff_12@company.com,2024-02-02,Report
staff_12@company.com,staff_10@company.com,2024-02-01,Coffee
ceo@company.com,sales_lead@company.com,2024-02-17,Planning
cto@company.com,staff_09@company.com,2024-02-16,Planning
staff_08@company.com,staff_10@company.com,2024-02-09,Update
ceo@company.com,eng_lead@company.com,2024-01-01,Report
ceo@company.com,eng_lead@company.com,2024-02-11,Sync
hr_lead@company.com,staff_03@company.com,2024-01-21,Update
staff_13@company.com,staff_09@company.com,2024-02-16,Report
cto@company.com,staff_01@company.com,2024-02-06,Sync
staff_14@company.com,staff_15@company.com,2024-02-10,Coffee
staff_03@company.com,hr_lead@company.com,2024-02-16,Report
staff_06@company.com,staff_14@company.com,2024-01-23,Report
staff_05@company.com,cto@company.com,2024-01-08,Update
ceo@company.com,staff_07@company.com,2024-02-10,Report
staff_10@company.com,staff_11@company.com,2024-03-01,Sync
staff_10@company.com,sales_lead@company.com,2024-01-19,Coffee
staff_08@company.com,staff_11@company.com,2024-02-16,Coffee
staff_13@company.com,staff_11@company.com,2024-01-03,Report
ceo@company.com,staff_12@company.com,2024-02-20,Sync
staff_11@company.com,staff_01@company.com,2024-01-24,Planning
staff_11@company.com,sales_lead@company.com,2024-03-01,Sync
staff_03@company.com,staff_14@company.com,2024-01-23,Report
cto@company.com,staff_12@company.com,2024-02-01,Report
staff_08@company.com,staff_09@company.com,2024-01-22,Planning
staff_01@company.com,ceo@company.com,2024-02-18,Coffee
staff_05@company.com,staff_02@company.com,2024-01-22,Report
staff_14@company.com,staff_02@company.com,2024-01-31,Coffee
ceo@company.com,staff_10@company.com,2024-02-14,Report
staff_04@company.com,staff_10@company.com,2024-02-14,Planning
ceo@company.com,hr_lead@company.com,2024-02-27,Planning
staff_11@company.com,staff_14@company.com,2024-01-25,Report
ceo@company.com,staff_09@company.com,2024-02-23,Report
staff_14@company.com,cto@company.com,2024-01-03,Update
ceo@company.com,hr_lead@company.com,2024-02-22,Planning
staff_13@company.com,staff_08@company.com,2024-02-15,Sync
staff_08@company.com,staff_14@company.com,2024-02-21,Sync
ceo@company.com,staff_07@company.com,2024-01-19,Report
ceo@company.com,staff_08@company.com,2024-02-11,Sync
staff_01@company.com,staff_14@company.com,2024-02-09,Sync
eng_lead@company.com,staff_04@company.com,2024-01-06,Planning
ceo@company.com,hr_lead@company.com,2024-01-28,Sync
